#;Título;Cliente;Sistema;Criado em;Concluído;Autor;Descrição;Últimas notas
144066;[SANTANDER] [SAC] [TICKET 23046120/REDMINE 144066] - [4122] - Script para desbloqueio de ações - BASE ASSET - ITSA1 / ITSA2 / AZUL13;Santander Asset;SAC;25/03/2025 11:38 h;25/03/2025 15:21 h;Bruno Visconti Guidotte;"Bom dia.
 
Por gentileza rodar script para que as posições dos fundos abaixo sejam desbloqueadas.

A data do desbloqueio precisa ser com a data de 21/03/2025 e precisamos que o script seja rodado hoje.


DATAPOS	FUNDO	PAPEL	CODCOR	QTDBLOQ
21/03/2025 00:00:00	4491           	ITSA1       	SANTANDE	24
21/03/2025 00:00:00	0152           	ITSA2       	SANTANDE	16471
21/03/2025 00:00:00	0201           	ITSA2       	SANTANDE	502
21/03/2025 00:00:00	0204           	ITSA2       	SANTANDE	1448
21/03/2025 00:00:00	0397           	ITSA2       	SANTANDE	183
21/03/2025 00:00:00	1164           	ITSA2       	SANTANDE	32861
21/03/2025 00:00:00	1216           	ITSA2       	SANTANDE	15599
21/03/2025 00:00:00	1318           	ITSA2       	SANTANDE	2484
21/03/2025 00:00:00	15192          	ITSA2       	SANTANDE	6685
21/03/2025 00:00:00	1575           	ITSA2       	SANTANDE	1704
21/03/2025 00:00:00	1828           	ITSA2       	SANTANDE	2687
21/03/2025 00:00:00	4062           	ITSA2       	SANTANDE	855
21/03/2025 00:00:00	4069           	ITSA2       	SANTANDE	84
21/03/2025 00:00:00	4089           	ITSA2       	SANTANDE	432
21/03/2025 00:00:00	4136           	ITSA2       	SANTANDE	994
21/03/2025 00:00:00	4139           	ITSA2       	SANTANDE	871
21/03/2025 00:00:00	4192           	ITSA2       	SANTANDE	5485
21/03/2025 00:00:00	4351           	ITSA2       	SANTANDE	749
21/03/2025 00:00:00	4491           	ITSA2       	SANTANDE	360
21/03/2025 00:00:00	4568           	ITSA2       	SANTANDE	363
21/03/2025 00:00:00	4596           	ITSA2       	SANTANDE	3145
21/03/2025 00:00:00	4610           	ITSA2       	SANTANDE	1303
21/03/2025 00:00:00	SBSB0081       	ITSA2       	SANTANDE	1605
21/03/2025 00:00:00	SGSB0715       	ITSA2       	SANTANDE	12130
21/03/2025 00:00:00	SISB0217       	ITSA2       	SANTANDE	10983

DATAPOS	FUNDO	PAPEL	CODCOR	QTDBLOQ
21/03/2025 00:00:00	0152           	AZUL13      	SANTANDE	57504
21/03/2025 00:00:00	0201           	AZUL13      	SANTANDE	1937
21/03/2025 00:00:00	0204           	AZUL13      	SANTANDE	63296
21/03/2025 00:00:00	15192          	AZUL13      	SANTANDE	59171
21/03/2025 00:00:00	1575           	AZUL13      	SANTANDE	430
21/03/2025 00:00:00	1828           	AZUL13      	SANTANDE	12487
21/03/2025 00:00:00	4069           	AZUL13      	SANTANDE	365
21/03/2025 00:00:00	4089           	AZUL13      	SANTANDE	18881
21/03/2025 00:00:00	4136           	AZUL13      	SANTANDE	5190
21/03/2025 00:00:00	4351           	AZUL13      	SANTANDE	2893
21/03/2025 00:00:00	4419           	AZUL13      	SANTANDE	7093
21/03/2025 00:00:00	4542           	AZUL13      	SANTANDE	86117
21/03/2025 00:00:00	SGSB0715       	AZUL13      	SANTANDE	65653
21/03/2025 00:00:00	SISB0217       	AZUL13      	SANTANDE	58785


Nº chamado: 4122
 
Atenciosamente,
";""
144065;[BRADESCO] [MCA] [TICKET 23045852/SSTI 186453] - CONCILIAÇÃO CETIP SIC;Bradesco;MCA;25/03/2025 11:25 h;07/04/2025 16:54 h;Frank De Aquino;Na conciliação de cetip sic (clientes que utilizam a conta cetip do Banco) não estão sendo apresentadas algumas posições.;Conforme evidência disponível no caminho abaixo, os testes efetuados em ambiente de homologação PRD, o problema não ocorre. Favor efetuar novamente a carga de posições e efetuar novamente a conciliação da posição. Evidência: \\d4010s029\ymf\Suporte\Evidências\2025\MCA\186453\EVIDENCIA DIMENSA 186453 PRD.xlsx
144040;[SANTANDER] [MCA] [4121] WH/SAC - Conciliação de Margem - DGAR(MARGEM DINHEIRO)  - DATA BASE: 24/03/25 - CUST3138;Santander Custódia;MCA;25/03/2025 09:24 h;25/03/2025 11:35 h;Eduardo Jose dos Santos;"Prezados, bom dia.
O MCA não está trazendo a posição da Clearing. Poderia verificar, por gentileza?
";"Murilo,
Bom dia.


Favor incluir o cadastro de clienteXcorretora em Cadastros/Básicos/Cliente/Corretora no MCA para a carteira CUST3138 na corretora AGORA e efetuar nova carga e conciliação."
144021;[BRADESCO] - [JCOT] - [SSTI 184495] - [Ticket 23039178] - [Nível 4] - [Realizou movimentos em duplicidade];Bradesco;JCOT;24/03/2025 18:59 h;11/04/2025 17:58 h;Francisco Bombini Junior;"Prezados, boa noite! 
 
O cliente constatou que este item não foi corrigido ao implantar a versão 25.02, sendo assim, foi realizado uma call com o Lucio para análise e irão verificar o que pode estar acontecendo e nos retornar. * Item prioritário *. 
 
Segue planilha com os movimentos duplicados:";Prezados, bom dia! Estamos encerrando esse Redmine em virtude do mesmo estar em duplicidade com o 145048.
144018;[BNP] [JCOT] [TICKET 22500264/BP2SITBR-1427/CZBR2SITADM-1194] - Falha Conta corrente;BNP;JCOT;24/03/2025 18:39 h;17/04/2025 17:02 h;Virginia Di Giaimo Dornelles;"_**SOLICITACAO DE ATENDIMENTO DIMENSA**_

**TICKET ZENDESK:22500264
SOLICITANTE CLIENTE:Marcela Claro
DATA DA SOLICITAÇÃO DO CLIENTE: 24/03/2025
TICKET EXTERNO:CZBR2SITADM-1194
MÓDULO: JCOT
TRANSAÇÃO:MOVIMENTO>IMPORTAÇÃO
TÍTULO DA TAREFA:Falha Conta corrente
DESCRIÇÃO DA SOLICITAÇÃO:**
Prezados, qual a lógica o JCOT utiliza para acatar ou não contas correntes do arquivo de movimentação na hora da importação?
Cliente está passando a informação que de maneira intermitente, as vezes o sistema acata uma movimentação importada com a conta corrente errada, e as vezes não.
qual a lógica utilizada aqui?";Informações enviadas para o cliente.
144003;[BRADESCO] - [JCOT] - [SSTI 186463] - [Ticket 23039645] - [NÍVEL 4] - [Travamento JCOT];Bradesco;JCOT;24/03/2025 17:41 h;29/05/2025 16:52 h;Francisco Bombini Junior;"Pessoal, boa tarde!

O cliente nos informa que está ocorrendo vários travamentos no JCOT, e que está impactando o sistema, e todos que utilizam o mesmo. Tiveram diversos apontamentos durante o dia de hoje 24/03. 

Travamento JCOT - Alguns planos de execução dos travamentos que ocorreram na data de 24/03:

Seguem arquivos em anexo.";Validação efetuada com sucesso.
143990;[SANTANDER] [SAC] [TICKET 23039440/REDMINE 143990] - [4119] - Alteração da data de vencimento - HBSA1 - BTC - CUSTODIA;Santander Custódia;SAC;24/03/2025 16:55 h;24/03/2025 18:31 h;Bruno Visconti Guidotte;"Prezados,
Boa tarde.
 
Por gentileza alterar a data de vencimento do contrato anexo para 24/03/2025:
";Script executado
143988;[BANRISUL ASSET] [MCA] [143988/23039824] - Coluna desnecessária na conciliação DBAC -Contratos Gerados no BTC;Banrisul Asset;MCA;24/03/2025 16:53 h;06/06/2025 14:21 h;Nilton Marcelo Silveira;"_**SOLICITACAO DE ATENDIMENTO DIMENSA**_

**TICKET ZENDESK:23039824
SOLICITANTE CLIENTE: BANRISUL ASSET
DATA DA SOLICITAÇÃO DO CLIENTE:
TICKET EXTERNO: 8525269
MÓDULO: MCA
TRANSAÇÃO:Conciliações > Renda Variável > CBLC > Imbarq ? Informações do Custodiante > DBAC -Contratos Gerados no BTC
TÍTULO DA TAREFA:
DESCRIÇÃO DA SOLICITAÇÃO:**

Favor retirar a coluna **Vl. Empréstimo Financeiro** da conciliação, visto que não há informações a serem consideradas neste campo (vide anexo).";Coluna retirada na Build 300 do MCA.
143958;[BNY][SAC] [TICKET 22713456 - REDMINE 143958 - INC10784467] - MT 920 Resgate de Cotista;BNY Mellon;SAC;24/03/2025 15:35 h;25/03/2025 21:29 h;Richard Santos De Magalhaes;"_**SOLICITACAO DE ATENDIMENTO DIMENSA**_

**TICKET ZENDESK: 22713456
SOLICITANTE CLIENTE: JÚLIA FARIAS
DATA DA SOLICITAÇÃO DO CLIENTE: 18/02/2025
TICKET EXTERNO: INC10784467
MÓDULO: CLIENTES
TRANSAÇÃO: PROCESSAMENTO/PROCESSAMENTO GERAL CONTÁBIL
TÍTULO DA TAREFA: [BNY][SAC] [TICKET 22713456 - REDMINE - INC10784467] - MT 920 Resgate de Cotista
DESCRIÇÃO DA SOLICITAÇÃO: Pessoal, bom dia

 

Poderiam verificar o erro na contabilização do evento F21 - RESGATE DE COTISTA (C CONVERSAO DE COTA) conforme evidências em anexo?

 

Att,

 

Renan Costa

Analyst

ASE Production Services

T +55 21 3219-2970

Renan.costa@bny.com

Av. Republica Chile nº 330 ? Torre Oeste, 14ª Andar

Centro, RJ ? CEP 20.031-170 - Edificio Ventura Corporate Towers

www.bny.com.br";"SOLICITACAO DE ATENDIMENTO DIMENSA
SISTEMA	SAC	X	AMPLIS	 	SLM	 	FRONT	 	SECURITY	 	MCI	X	SAT	 	SWIFT	 
 TICKET	22713456
 SOLICITANTE	JÚLIA FARIAS
 INCIDENTE	INC10784467
 ANALISTA	RICHARD MAGALHAES
MÓDULO	CLIENTES
TRANSAÇÃO	PROCESSAMENTO/PROCESSAMENTO GERAL CONTÁBIL
DESCRICAO DO PROBLEMA	[BNY][SAC] [TICKET 22713456 - REDMINE - INC10784467] - MT 920 Resgate de Cotista
DESCRICAO DA SOLUÇÃO	: Foi preciso devido a outras correções, montar uma correção específica
DESCRICAO DA CAUSA RAÍZ	: O evento não estava completo e devido a outras correções, o evento parou
NECESSÁRIO ORIENTAÇÃO	SIM		NÃO	 X												
NECESSÁRIO SCRIPT	SIM		NÃO	 X	
NECESSÁRIO BUILD	SIM	X	NÃO	 	SERVIDOR BUILD 3176
EVIDÊNCIA ANEXO	SIM	X	NÃO		
"
143956;[BNY] [FRONT] [REDMINE 143956] [Termo RF] - Erro importação Gateway;BNY Mellon;FRONT;24/03/2025 15:32 h;11/04/2025 12:29 h;Guilherme Chaves;"_**SOLICITACAO DE ATENDIMENTO DIMENSA**_

**TICKET ZENDESK:
SOLICITANTE CLIENTE:
DATA DA SOLICITAÇÃO DO CLIENTE:
TICKET EXTERNO:
MÓDULO:
TRANSAÇÃO:
TÍTULO DA TAREFA:
DESCRIÇÃO DA SOLICITAÇÃO:**

Favor, verificar a mensagem ao importar as operações de venda no gateway.
![](clipboard-202503241532-yw40n.png)
";"Item resolvido na versão ProjetoTermo\Marco_2025\Servidor\2025.03.08.04

F:\Dimensa\_ENTREGA DE BUILDS\SAC\Entrega Oficial\Versão Aceite\ProjetoTermo\Marco_2025\Servidor\2025.03.08.04

Att 

FILIPE COSTA."
143950;"[ITAÚ] [JCOT] [23036833] [REDMINE 43950] - GALGO - TAG ""Envio por API"" ";Itaú;JCOT;24/03/2025 15:15 h;07/04/2025 17:22 h;Fabio Eduardo Katayama;"_**SOLICITACAO DE ATENDIMENTO DIMENSA**_

**TICKET ZENDESK:
SOLICITANTE CLIENTE:Patricia
DATA DA SOLICITAÇÃO DO CLIENTE:24/04/2025
TICKET EXTERNO:
MÓDULO:JCOT
TRANSAÇÃO: 
TÍTULO DA TAREFA:[ITAÚ] [JCOT] [REDMINE] - GALGO - TAG ""Envio por API"" 
DESCRIÇÃO DA SOLICITAÇÃO:**
O itau foi utilizar a API do GALGO, porem receberam uma negativa pelo sistema, foi identificado que a TAG, <Issr>Envio por API</Issr>, por não fazer parte do layout do galgo, é barrado no envio do GALGO. Desse modo será necessário retirar a TAG no momento do envio do arquivo.";versão entregue para o cliente
143940;[BNY] [SAC] [TICKET 22955370/ REDMINE 143940/ INC10994172] - Aplicações duplicadas;BNY Mellon;SAC;24/03/2025 14:48 h;24/03/2025 19:20 h;Guilherme Chaves;"_**SOLICITACAO DE ATENDIMENTO DIMENSA**_

**TICKET ZENDESK:
SOLICITANTE CLIENTE:
DATA DA SOLICITAÇÃO DO CLIENTE:
TICKET EXTERNO:
MÓDULO:
TRANSAÇÃO:
TÍTULO DA TAREFA:
DESCRIÇÃO DA SOLICITAÇÃO:**";"Homologação efetuada no cliente build 3059.

Segue as evidências em anexo."
143923;[SANTANDER] [SAC] [TICKET 23034633/REDMINE 143923] - [4117] - ALTERAR DATA DE VENCIMENTO ;Santander Custódia;SAC;24/03/2025 13:27 h;24/03/2025 15:16 h;Bruno Visconti Guidotte;"Favor alterar data de vencimento para  24-03-2025 da planilha em anexo.

 
BASE CUSTODIA

CHAMADO - 4117

CUST4471
";Script aplicado
143918;[BNY] - SAC][ TICKET 23020588] [INC11048045] - Problema no SAC via arquivo transfer 4.04 - Depósito SWAP;BNY Mellon;SAC;24/03/2025 13:12 h;24/03/2025 18:12 h;Filipe Costa;"_**SOLICITACAO DE ATENDIMENTO DIMENSA**_

**TICKET ZENDESK:23020588
SOLICITANTE CLIENTE:yURI TORRES
DATA DA SOLICITAÇÃO DO CLIENTE:21/03/2025
TICKET EXTERNO:INC11048045
MÓDULO:SWAP
TRANSAÇÃO:tabelas/Importação/Movimento/Transfer/transfer 4.04
TÍTULO DA TAREFA:[BNY] - SAC][ TICKET 23020588] [INC11048045] - Problema no SAC via arquivo transfer 4.04 - Depósito SWAP
DESCRIÇÃO DA SOLICITAÇÃO:** 

Sistema na importação do Transfer 4.04 para tipo depósito está criando uma ""operação nova"" não respeitando a tabela de equivalência, e o correto deveria acatar a equivalência e depositar nova quantidade na operação informada 
Exemplo: carteira: zeitgeist zara 
Data: 18/11/2024 
tabelas/Importação/Movimento/Transfer/transfer 4.04
Equivalência: CSW 
Contraparte: MELLON 
 
tabela Equivalência: 
 
select * from SAC_BA_EQUIVALENCIAS
where CD_EQUIVALENCIA = 'CSW'
AND CD_SISTEMA_ORIGEM = '40381'
 
tabela Movimento: 
select * from SAC_SW2_MOV
where CLCLI_CD = 'zeitgeist zara' 
 
tabela de posição:  
 
 
select * from SAC_SW2_POS
where CLCLI_CD = 'zeitgeist zara' 
 
Anexo evidencias com simulção e arquivo importado. 
Att,

FILIPE COSTA 

DIMENSA - ATENDIMENTO SLA";"Existe um parâmetro em  Operações /Swap / Parãmetros , campo ""Util. Cad. Swap Existe. na Imp. Transfer = SIM este parâmtero como ""sim"",  sistema  consolida os depósitos efetuados em uma determinada operação.   

Att 

FILIPE COSTA "
143902;[BRADESCO] [JCOT] [TICKET 22925032 /SSTI 186221/ REDMINIE # 143902] - <<URGENTE>> Erro Processamento Fundo;Bradesco;JCOT;24/03/2025 12:02 h;22/04/2025 17:36 h;Francisco Bombini Junior;"Prezados, bom dia! 
Conforme call realizada em 11/03/2025 às 10:00 de Troubleshooting, o Lucio irá realizar uma análise sobre a possibilidade de bloquear o processo em vez de somente aparecer a mensagem quando tentam restaurar o fundo quando alguém está processando o fundo. Cliente aguarda retorno neste ietem.
";""
143882;[BNY] [SAC] [ZENDESK 22983621 - REDMINE 143830] - Script Atualização Cadastro de Ativos;BNY Mellon;SAC;24/03/2025 11:01 h;24/03/2025 19:55 h;Richard Santos De Magalhaes;"_**SOLICITACAO DE ATENDIMENTO DIMENSA**_

**TICKET ZENDESK: 22983621
SOLICITANTE CLIENTE: LEILA SANTOS
DATA DA SOLICITAÇÃO DO CLIENTE: 18/03/2025
TICKET EXTERNO: SEM INC
MÓDULO: OUTROS
TRANSAÇÃO: OPERAÇÕES/OUTROS/CADASTRO/BÁSICO
TÍTULO DA TAREFA: [BNY] [SAC] [ZENDESK 22983621 - REDMINE] - Script Atualização Cadastro de Ativos
DESCRIÇÃO DA SOLICITAÇÃO:Por favor, verificar a possibilidade.

Estamos com mais de 1000 fundos impactados, conforme planilha anexa.

 

 

No aguardo de uma resposta.

 

Att.,

 

Leila Siqueira Santos";orçado em 2 horas, caso o cliente aprove , será feito o script. 
143881;[BNY] [SAC] [ZENDESK 22983621 - REDMINE 143830] - Script Atualização Cadastro de Ativos;Dimensa;SAC;24/03/2025 11:01 h;02/04/2025 14:30 h;Richard Santos De Magalhaes;"_**SOLICITACAO DE ATENDIMENTO DIMENSA**_

**TICKET ZENDESK: 22983621
SOLICITANTE CLIENTE: LEILA SANTOS
DATA DA SOLICITAÇÃO DO CLIENTE: 18/03/2025
TICKET EXTERNO: SEM INC
MÓDULO: OUTROS
TRANSAÇÃO: OPERAÇÕES/OUTROS/CADASTRO/BÁSICO
TÍTULO DA TAREFA: [BNY] [SAC] [ZENDESK 22983621 - REDMINE] - Script Atualização Cadastro de Ativos
DESCRIÇÃO DA SOLICITAÇÃO:Por favor, verificar a possibilidade.

Estamos com mais de 1000 fundos impactados, conforme planilha anexa.

 

 

No aguardo de uma resposta.

 

Att.,

 

Leila Siqueira Santos";"Redmine fechado, pois deve ter sido aberto em duplicidade, o mesmo foi tratado pelo REDMINE 143830.


Att.


Richard Magalhães"
143852;[SANTANDER] [SAC] [TICKET 23029902 / REDMINE 143852] WH/SAC - XML ASA - ATIVO APARECENDO NO XML COM VALOR EM DOLAR;Santander Custódia;SAC;24/03/2025 09:26 h;"";Eduardo Jose dos Santos;"Bom dia!

A carteira CUST4198 possui o ativo abaixo off shore e no XML esta trazendo o valor em dólar a partir de 07/03.

Até 06/03 era demonstrado em real no XML extraído via GRC.

Os 2 XML?s estão da mesma forma, SAC e GRC.
";""
143842;[BNY] [SAC] [ZENDESK23053061/REDMINE143842][SUBSCRIÇÃO] - RENOVACAO_BTC_DOADOR_EM_D0_DATA_EX_MODALIDADE_REGISTRO;BNY Mellon;SAC;22/03/2025 02:06 h;26/03/2025 01:34 h;Markus Leon Schvartzman;"TICKET ZENDESK:
SOLICITANTE CLIENTE: REFFANIA
MÓDULO: RENDA VARIAVEL
TRANSAÇÃO:PROCESSAMENTO DE RENDA VARIÁVEL
TÍTULO DA TAREFA: [BNY] [SAC] [ZENDESK/REDMINE] [SUBSCRIÇÃO]- RENOVACAO_BTC_DOADOR_EM_D0_DATA_EX_MODALIDADE_REGISTRO
DESCRIÇÃO DA SOLICITAÇÃO:
PROJETO DE SUBSCRIÇÃO PARA VERIFICAÇÃO DOS CENÁRIOS DE BTC

";"Após a correção foi gerado o SRV143842 e o cenário RENOVACAO_BTC_DOADOR_EM_D0_DATA_EX_MODALIDADE_REGISTRO foi corrigido. Evidência em anexo.
Finalizado."
143835;[ SANTANDER ] - SAC / YS - Zendesk 23026664 - Redmine 143835 - Favor excluir as operações de emprestimos;Santander Asset;SAC;21/03/2025 20:05 h;11/04/2025 16:13 h;Sebastiao Otunes Alves;"
Favor excluir as operações de emprestimos das carteiras abaixo base Asset:

Fundo 4069 / papel BOVA11  / Qtde 40
Fundo 1828 / papel BOVA11 / Qtde 1.200

grato.";Encerramento realizado devido ao item já se encontrar finalizado no Zendesk.
143836;[ SANTANDER ] - SAC / YS - Zendesk 23026664 - Redmine 143835 - Favor excluir as operações de emprestimos;Santander Asset;SAC;21/03/2025 20:06 h;21/03/2025 20:06 h;Sebastiao Otunes Alves;"
Favor excluir as operações de emprestimos das carteiras abaixo base Asset:

Fundo 4069 / papel BOVA11  / Qtde 40
Fundo 1828 / papel BOVA11 / Qtde 1.200

grato.";""
143830;[BNY] [SAC] [ZENDESK 22983621 - REDMINE 143830] - Script Atualização Cadastro de Ativos;BNY Mellon;SAC;21/03/2025 19:39 h;24/03/2025 11:04 h;Richard Santos De Magalhaes;"_**SOLICITACAO DE ATENDIMENTO DIMENSA**_

**TICKET ZENDESK: 22983621
SOLICITANTE CLIENTE: LEILA SANTOS
DATA DA SOLICITAÇÃO DO CLIENTE: 18/03/2025
TICKET EXTERNO: SEM INC
MÓDULO: OUTROS
TRANSAÇÃO: OPERAÇÕES/OUTROS/CADASTRO/BÁSICO
TÍTULO DA TAREFA: [BNY] [SAC] [ZENDESK 22983621 - REDMINE] - Script Atualização Cadastro de Ativos
DESCRIÇÃO DA SOLICITAÇÃO:Por favor, verificar a possibilidade.

Estamos com mais de 1000 fundos impactados, conforme planilha anexa.

 

 

No aguardo de uma resposta.

 

Att.,

 

Leila Siqueira Santos";"SOLICITACAO DE ATENDIMENTO DIMENSA
SISTEMA	SAC	X	AMPLIS	 	SLM	 	FRONT	 	SECURITY	 	MCI	X	SAT	 	SWIFT	 
 TICKET	22983621
 SOLICITANTE	LEILA SANTOS
 INCIDENTE	SEM INC
 ANALISTA	RICHARD MAGALHAES
MÓDULO	OUTROS
TRANSAÇÃO	OPERAÇÕES/OUTROS/CADASTRO/BÁSICO
DESCRICAO DO PROBLEMA	[BNY] [SAC] [ZENDESK 22983621 - REDMINE 143830] - Script Atualização Cadastro de Ativos
DESCRICAO DA SOLUÇÃO	ELABORAR UM SCRIPT DE INCERT, PARA PREENCHER O CAMPO MNEMÔNICO CETIP, QUE TERÁ UM ESFORÇO DE DE 2 HORAS, SENDO 1 HORA PARA O ANALISTA TÉCNICO E 1 HORA PARA O ANALISTA FUNCIONAL PARA TESTES NOS SISTEMA SAC
DESCRICAO DA CAUSA RAÍZ	ESTE CAMPO NÃO ESTÁ PREENCHIDO PARA DIVERSOS ATIVOS CRIADOS NO SISTEMA
NECESSÁRIO ORIENTAÇÃO	SIM		NÃO	 X												
NECESSÁRIO SCRIPT	SIM	X	NÃO	 	
NECESSÁRIO BUILD	SIM		NÃO	 X	
EVIDÊNCIA ANEXO	SIM		NÃO	X	
"
143831;[BNY] [SAC] [ZENDESK 22983621 - REDMINE 143830] - Script Atualização Cadastro de Ativos;Dimensa;SAC;21/03/2025 19:41 h;21/03/2025 19:42 h;Richard Santos De Magalhaes;"_**SOLICITACAO DE ATENDIMENTO DIMENSA**_

**TICKET ZENDESK: 22983621
SOLICITANTE CLIENTE: LEILA SANTOS
DATA DA SOLICITAÇÃO DO CLIENTE: 18/03/2025
TICKET EXTERNO: SEM INC
MÓDULO: OUTROS
TRANSAÇÃO: OPERAÇÕES/OUTROS/CADASTRO/BÁSICO
TÍTULO DA TAREFA: [BNY] [SAC] [ZENDESK 22983621 - REDMINE] - Script Atualização Cadastro de Ativos
DESCRIÇÃO DA SOLICITAÇÃO:Por favor, verificar a possibilidade.

Estamos com mais de 1000 fundos impactados, conforme planilha anexa.

 

 

No aguardo de uma resposta.

 

Att.,

 

Leila Siqueira Santos";""
143828;[ 4105 ] SAC / YS - Zendesk 23026597 - Redmine 143828  - Questionamento sobre Rentabilidade;Santander Asset;SAC;21/03/2025 19:34 h;11/04/2025 16:13 h;Sebastiao Otunes Alves;"Prezados, boa noite.

Conforme chamado aberto em 19/03, precisamos saber se há um campo no SAC que demonstre a base do rendimento para cálculo do IR e IOF dos ativos do fundo e aí com base nele capturamos para calcular o IR.

Já consultamos o relatório em Relatórios/Clientes/Gerenciais/Análise de variação da Cota, mas ele não atende.

Obrigado

";Encerramento realizado devido ao item já se encontrar finalizado no Zendesk.
143829;[ 4105 ] SAC / YS - Zendesk 23026597 - Redmine 143828  - Questionamento sobre Rentabilidade;Santander Asset;SAC;21/03/2025 19:35 h;24/03/2025 16:42 h;Sebastiao Otunes Alves;"Prezados, boa noite.

Conforme chamado aberto em 19/03, precisamos saber se há um campo no SAC que demonstre a base do rendimento para cálculo do IR e IOF dos ativos do fundo e aí com base nele capturamos para calcular o IR.

Já consultamos o relatório em Relatórios/Clientes/Gerenciais/Análise de variação da Cota, mas ele não atende.

Obrigado

";tarefa entregue como orientação.
143824;[BRADESCO] [SAC] [TICKET 23026565/SSTI 186449] - ERRO NO XML ATIVOS OFFHORE;Bradesco;SAC;21/03/2025 19:11 h;31/03/2025 16:27 h;Frank De Aquino;Erro no XML para ativos offhore na tag ATIVO E SERIE NA TAG MERCADO - 2 , os campos ATIVO E SERIE não demostram o código com todos os dígitos - Fundo 018645;"Srs.
Conforme evidencias foi verificado que no Layout da ANBID só tem 4 casas para o Ativo, não podemos alterar o componente para 5 casas e com a alteração da erro no validador da ANBIMA.
Evidência - 
\\d4010s029\ymf\Suporte\Evidências\2025\SAC\186449\Layout Anbid.png \\d4010s029\ymf\Suporte\Evidências\2025\SAC\186449\Validador Anbid.png"
143794;[BNP] [SAC] [TICKET 23023924/CZBR2SITADM-1302] - DIVERGENCIA NO LOTE DE IBOV;BNP;SAC;21/03/2025 15:58 h;"";Thiago Pedroso David;"_**SOLICITACAO DE ATENDIMENTO DIMENSA**_

**TICKET ZENDESK:23023924
SOLICITANTE CLIENTE:MARCOS GUEDES
DATA DA SOLICITAÇÃO DO CLIENTE:21/03/2025
TICKET EXTERNO:CZBR2SITADM-1302
MÓDULO:SAC
TRANSAÇÃO:TABELAS / IMPORTAÇÃO / CADASTROS / ATIVOS
TÍTULO DA TAREFA:DIVERGENCIA NO LOTE DE IBOV
DESCRIÇÃO DA SOLICITAÇÃO:**

Os papeis IBOV tiveram uma alteração no LOTE de 1 para 100 e essa informação consta no arquivo BVBG028, mas após a importação os lotes não foram alterados, forçando o cliente a realizar alteração manual.
 
Será necessário alteração na importação do BVBG028.";CORREÇÃO ESTÁ APRESENTANDO DUPLICIDADE DE LOTE, FAVOR VERIFICAR.
143765;[ 4114 ] Zendesk 23022544 - Redmine 143765  - Alteração da data de vencimento -  ITSA2 - BTC - ASSET;Santander Asset;SAC;21/03/2025 14:41 h;11/04/2025 16:14 h;Sebastiao Otunes Alves;"Prezados,
Boa tarde.
 
Por gentileza alterar a data de vencimento do contrato abaixo para 21/03/2025:
 
Fundo: 0152

Fundo: 0201

Fundo: 1164

Fundo: 4351

Nº chamado: 4114

Atenciosamente,
";Encerramento realizado devido ao item já se encontrar finalizado no Zendesk.
143756;[ITAÚ] [SAC] [INC17052901] - Posteriormente foi identificado que não ocorreu o calculo da taxa de administração desse dia;Itaú;SAC;21/03/2025 14:09 h;"";Cibele Gemita Fuentes Lopes ;"_**SOLICITACAO DE ATENDIMENTO DIMENSA**_

**TICKET ZENDESK:22762948
SOLICITANTE CLIENTE:Itau
DATA DA SOLICITAÇÃO DO CLIENTE:14/02
TICKET EXTERNO:INC17052901
MÓDULO:Operações
TRANSAÇÃO: taxa  adm
TÍTULO DA TAREFA:Posteriormente foi identificado que não ocorreu o calculo da taxa de administração desse dia
DESCRIÇÃO DA SOLICITAÇÃO:**O Fundo ALPESFIM55425 (SAC XZ) no dia 11/02 foi liberado normalmente, passou pela etapa de clientes abertura conforme print de conclusão de processamento em anexo.
Posteriormente foi identificado que não ocorreu o calculo da taxa de administração desse dia. e após consulta nos logs de processamento foi visto que o fundo ficou preso com o status ""em processamento"" na etapa de clientes abertura conforme segundo print, impactando o calculo das despesas para o dia.
Visto que o fundo concluiu o processamento na esteira, peço que identifiquei o motivo de ter ficado preso nesta etapa";Este incidente está parado aguardando a CVM 175 ( zendesk em espera)
143753;[ITAÚ] [SAC] [INC16748774] - Os proventos que estavam provisionados na CPR do fundo INTRAG57528 sumiram no dia 17/01/2025.;Itaú;SAC;21/03/2025 14:01 h;04/04/2025 19:21 h;Cibele Gemita Fuentes Lopes ;"_**SOLICITACAO DE ATENDIMENTO DIMENSA**_

**TICKET ZENDESK:22458805
SOLICITANTE CLIENTE: Itau
DATA DA SOLICITAÇÃO DO CLIENTE:
TICKET EXTERNO:INC16748774
MÓDULO:Operações
TRANSAÇÃO:outros
TÍTULO DA TAREFA: **Os proventos que estavam provisionados na CPR do fundo INTRAG57528 sumiram no dia 17/01/2025.**
DESCRIÇÃO DA SOLICITAÇÃO:**Os proventos que estavam provisionados na CPR do fundo INTRAG57528 sumiram no dia 17/01/2025.";""
